map,state,district_id,harris_margin_pts,dem,rep,total
Before redistricting,FL,FL-11,-16.25744104633317,NA,NA,NA
Before redistricting,FL,FL-12,-34.57593465851402,NA,NA,NA
Before redistricting,FL,FL-13,-11.85886785416313,NA,NA,NA
Before redistricting,FL,FL-14,7.670103323469024,NA,NA,NA
Before redistricting,FL,FL-15,-11.18937637860683,NA,NA,NA
Before redistricting,FL,FL-16,-15.466663526530223,NA,NA,NA
Before redistricting,FL,FL-17,-23.946779227117247,NA,NA,NA
Before redistricting,FL,FL-18,-29.39921032974069,NA,NA,NA
Before redistricting,FL,FL-19,-29.16693912247434,NA,NA,NA
Before redistricting,FL,FL-20,39.60577064232427,NA,NA,NA
Before redistricting,FL,FL-21,-16.562639811216474,NA,NA,NA
Before redistricting,FL,FL-22,5.568723527504826,NA,NA,NA
Before redistricting,FL,FL-23,1.905253513311228,NA,NA,NA
Before redistricting,FL,FL-24,30.054657738447343,NA,NA,NA
Before redistricting,FL,FL-25,5.330060737637776,NA,NA,NA
Before redistricting,FL,FL-26,-34.96848242978735,NA,NA,NA
Before redistricting,FL,FL-27,-14.660635358298773,NA,NA,NA
Before redistricting,FL,FL-28,-25.397981510613338,NA,NA,NA
Before redistricting,GA,GA-1,-15.80630877171752,NA,NA,NA
Before redistricting,GA,GA-2,7.619887644356771,NA,NA,NA
Before redistricting,GA,GA-3,-29.699871462224703,NA,NA,NA
Before redistricting,GA,GA-4,52.47381831216516,NA,NA,NA
Before redistricting,GA,GA-5,71.59350984980084,NA,NA,NA
Before redistricting,GA,GA-6,49.936050670204935,NA,NA,NA
Before redistricting,GA,GA-7,-22.05524208269214,NA,NA,NA
Before redistricting,GA,GA-8,-30.59473052853695,NA,NA,NA
Before redistricting,GA,GA-9,-34.07778771712561,NA,NA,NA
Before redistricting,GA,GA-10,-20.78488898110641,NA,NA,NA
Before redistricting,GA,GA-11,-23.34363452820845,NA,NA,NA
Before redistricting,GA,GA-12,-14.161142055298615,NA,NA,NA
Before redistricting,GA,GA-13,42.33440962955642,NA,NA,NA
Before redistricting,GA,GA-14,-36.77737637415997,NA,NA,NA
Before redistricting,HI,HI-1,24.731152547821896,NA,NA,NA
Before redistricting,HI,HI-2,21.594035712552408,NA,NA,NA
Before redistricting,IA,IA-1,-8.465091868481029,NA,NA,NA
Before redistricting,IA,IA-2,-9.989182594938212,NA,NA,NA
Before redistricting,IA,IA-3,-4.406375766591414,NA,NA,NA
Before redistricting,IA,IA-4,-31.481793274455484,NA,NA,NA
Before redistricting,ID,ID-1,-45.06738220296984,NA,NA,NA
Before redistricting,ID,ID-2,-26.726665609625073,NA,NA,NA
Before redistricting,IL,IL-1,32.04803312123692,NA,NA,NA
Before redistricting,IL,IL-2,33.116431801927945,NA,NA,NA
Before redistricting,IL,IL-3,31.392813552148795,NA,NA,NA
Before redistricting,IL,IL-4,28.32538195036065,NA,NA,NA
Before redistricting,IL,IL-5,37.11697786240353,NA,NA,NA
Before redistricting,IL,IL-6,5.491982726146083,NA,NA,NA
Before redistricting,IL,IL-7,65.38716870034564,NA,NA,NA
Before redistricting,IL,IL-8,6.908789817189981,NA,NA,NA
Before redistricting,IL,IL-9,36.57112495885142,NA,NA,NA
Before redistricting,IL,IL-10,22.045980080962813,NA,NA,NA
Before redistricting,IL,IL-11,11.430237442518571,NA,NA,NA
Before redistricting,IL,IL-12,-43.42151864770592,NA,NA,NA
Before redistricting,IL,IL-13,10.467779163879392,NA,NA,NA
Before redistricting,IL,IL-14,5.185911730684378,NA,NA,NA
Before redistricting,IL,IL-15,-39.75144531403627,NA,NA,NA
Before redistricting,IL,IL-16,-22.677393320608243,NA,NA,NA
Before redistricting,IL,IL-17,4.744380157450445,NA,NA,NA
Before redistricting,IN,IN-1,0.39592397036837196,NA,NA,NA
Before redistricting,IN,IN-2,-26.50307239914153,NA,NA,NA
Before redistricting,IN,IN-3,-31.190141108191256,NA,NA,NA
Before redistricting,IN,IN-4,-29.34244327742414,NA,NA,NA
Before redistricting,IN,IN-5,-16.806620256250504,NA,NA,NA
Before redistricting,IN,IN-6,-32.520300234635094,NA,NA,NA
Before redistricting,IN,IN-7,41.457417040557125,NA,NA,NA
Before redistricting,IN,IN-8,-35.88088941837622,NA,NA,NA
Before redistricting,IN,IN-9,-29.884777830270075,NA,NA,NA
Before redistricting,KS,KS-1,-31.26678473675737,NA,NA,NA
Before redistricting,KS,KS-2,-19.674377969685256,NA,NA,NA
Before redistricting,KS,KS-3,4.0997006966976,NA,NA,NA
Before redistricting,KS,KS-4,-23.294002850283096,NA,NA,NA
Before redistricting,KY,KY-1,-47.29598832968635,NA,NA,NA
Before redistricting,KY,KY-2,-41.33339026716199,NA,NA,NA
Before redistricting,KY,KY-3,18.93946235588067,NA,NA,NA
Before redistricting,KY,KY-4,-35.557784868891474,NA,NA,NA
Before redistricting,KY,KY-5,-63.88355705969263,NA,NA,NA
Before redistricting,KY,KY-6,-15.029646381116319,NA,NA,NA
Before redistricting,LA,LA-1,-37.921463152232384,NA,NA,NA
Before redistricting,LA,LA-2,31.381852917855518,NA,NA,NA
Before redistricting,LA,LA-3,-44.77570179694546,NA,NA,NA
Before redistricting,LA,LA-4,-52.13855699007125,NA,NA,NA
Before redistricting,LA,LA-5,-36.26879952160263,NA,NA,NA
Before redistricting,LA,LA-6,14.982988278647769,NA,NA,NA
Before redistricting,MA,MA-1,13.622480950801197,NA,NA,NA
Before redistricting,MA,MA-2,23.67593598529166,NA,NA,NA
Before redistricting,MA,MA-3,18.980882443551963,NA,NA,NA
Before redistricting,MA,MA-4,19.723442071857534,NA,NA,NA
Before redistricting,MA,MA-5,45.16737058885127,NA,NA,NA
Before redistricting,MA,MA-6,20.682313168416606,NA,NA,NA
Before redistricting,MA,MA-7,63.09513975930441,NA,NA,NA
Before redistricting,MA,MA-8,26.41676187743684,NA,NA,NA
Before redistricting,MA,MA-9,10.763611260393311,NA,NA,NA
Before redistricting,MD,MD-1,-16.91333567321441,NA,NA,NA
Before redistricting,MD,MD-2,18.456652338618127,NA,NA,NA
Before redistricting,MD,MD-3,23.764020195859164,NA,NA,NA
Before redistricting,MD,MD-4,73.62331695375282,NA,NA,NA
Before redistricting,MD,MD-5,33.28824122103221,NA,NA,NA
Before redistricting,MD,MD-6,5.7719335796973965,NA,NA,NA
Before redistricting,MD,MD-7,58.939803228326646,NA,NA,NA
Before redistricting,MD,MD-8,56.453495611031556,NA,NA,NA
Before redistricting,ME,ME-1,21.610177313802048,NA,NA,NA
Before redistricting,ME,ME-2,-9.0514746954242,NA,NA,NA
