map,split_ticket_type,incumbents,seats_made_harder,seats_made_easier,still_presidentially_crosspressured,median_incumbent_party_margin_shift_pts,worst_incumbent_party_margin_shift_pts
"After redistricting, with Alabama change",Democrat won Trump district,6,4,2,4,-3.4740519391119706,-8.492195173391444
"After redistricting, without Alabama change",Democrat won Trump district,6,4,2,4,-3.4740519391119706,-8.492195173391444
