state,district,district_number,candidate,party,ballotpedia_status,election_phase,incumbent,candidate_connection,candidate_url,source_url,raw_candidate_text,source_table_index,source_table_columns,section_note
Texas,District 3,3,Evan Hunt,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Evan_Hunt_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Evan Hunt,,,
Texas,District 3,3,Jordan Wheatley,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/Jordan_Wheatley,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jordan Wheatley,,,
Texas,District 3,3,Keith Self,Republican Party,active,Republican primary,True,False,https://ballotpedia.org/Keith_Self,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Keith Self (Incumbent),,,
Texas,District 3,3,Mark Newgent,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Mark_Newgent,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Mark Newgent,,,
Texas,District 3,3,Zain Shaito,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/Zain_Shaito,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Zain Shaito,,,
Texas,District 4,4,Pat Fallon,Republican Party,active,General election,True,False,https://ballotpedia.org/Pat_Fallon,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Pat Fallon (Incumbent) (Republican Party),,,
Texas,District 4,4,Jason Pearce,Democratic Party,active,General election,False,True,https://ballotpedia.org/Jason_Pearce,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jason Pearce (Democratic Party),,,
Texas,District 4,4,Jason Pearce,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Jason_Pearce,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jason Pearce,,,
Texas,District 4,4,Andrew Rubell,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Andrew_Rubell,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Andrew Rubell,,,
Texas,District 4,4,Brice Gonzales,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/Brice_Gonzales,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Brice Gonzales,,,
Texas,District 4,4,Pat Fallon,Republican Party,active,Republican primary,True,False,https://ballotpedia.org/Pat_Fallon,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Pat Fallon (Incumbent),,,
Texas,District 4,4,Don Horn,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Don_Horn,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Don Horn,,,
Texas,District 5,5,Lance Gooden,Republican Party,active,General election,True,False,https://ballotpedia.org/Lance_Gooden,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Lance Gooden (Incumbent) (Republican Party),,,
Texas,District 5,5,Chelsey Hockett,Democratic Party,active,General election,False,True,https://ballotpedia.org/Chelsey_Hockett,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Chelsey Hockett (Democratic Party),,,
Texas,District 5,5,Dea Foy,Independent,active,General election,False,True,https://ballotpedia.org/Dea_Foy,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Dea Foy (Independent),,,
Texas,District 5,5,Chelsey Hockett,Democratic Party,active,Democratic primary runoff,False,True,https://ballotpedia.org/Chelsey_Hockett,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Chelsey Hockett,,,
