ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_SEN_SPEC_Total,E_24_SEN_SPEC_Dem,E_24_SEN_SPEC_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,765339,525779,165261,19867,31862,33387,4255,0,0,772365,505246,185759,22473,37990,33195,5704,0,0,765487,462611,201944,22225,40557,47492,6063,760065,462197,198815,20639,40391,46137,5841,769852,497961,188671,21653,38759,32203,5622,13734,27863,9619,2113,1998,27903,765529,481623,196768,22219,40587,34097,5507,593858,435487,105467,13410,21849,22266,2804,0,0,562937,421729,87793,12826,20506,16947,1173,10848,17261,8045,2183,0,605483,390785,138760,15539,29667,33831,4253,605483,390785,138760,10298,22126,9600,1832,3222,28860,560002,417073,90338,12434,20628,16291,1076,0,0,0,0,0,558835,407003,98065,12929,21696,15530,1265,10284,18095,6477,1265,546258,386988,104698,13026,22319,15446,1303,9496,18419,6393,1303,324120,192849,129317,296173,171865,124308,321841,170598,126522,292660,161265,131395,288139,164493,123646,316144,176887,131811,369547,212964,147017,288323,158780,125019,262120,145400,116720,264994,139240,125754,259868,141215,118653,261653,142821,118832,261416,143418,117998,259861,140027,119834,303757,167660,133836,341644,186164,144424,332694,182058,150636,319375,173527,145848,0.3728,49,0.1936,23,34
2,2,742987,573905,90923,15800,33780,36115,3364,0,0,759351,566290,103319,20242,41271,34923,4363,0,0,765001,533740,115029,21249,47119,51117,4904,760065,533599,112645,18778,46719,48674,4678,756608,558037,105112,20893,42590,35172,4444,10955,27936,14629,1422,3666,34853,761273,551176,108815,22033,46167,35752,5341,588248,471972,61007,10496,23611,24504,2242,0,0,569498,463605,48499,12077,22339,20306,984,9309,18273,12123,2271,0,613701,447722,80105,15177,34026,35923,3432,613701,447722,80105,10020,25534,12584,1212,4105,32419,568442,459907,50268,12372,22987,20105,1057,0,0,0,0,0,575365,460772,54056,12624,25317,18652,961,9447,20370,8810,961,570919,448939,60753,12843,26231,18738,1172,8980,20488,8308,1172,365211,232423,130664,336205,208156,128049,360469,211519,123116,332366,205125,127241,327341,206163,121178,357010,220940,128430,417404,263170,144491,333596,205000,123848,308346,192111,116235,311426,186920,124506,305755,185881,119874,307515,189286,118229,306267,188599,117668,304505,184314,120191,350901,215895,132487,389315,236524,140558,381932,231877,150055,374621,227293,147328,0.3247,30,0.1993,25,21
3,3,702508,455991,118728,50180,70327,17900,6622,0,0,740793,451961,134299,54793,91563,18455,7646,0,0,763291,435429,142981,57031,106240,27654,9582,760067,435208,141407,54225,105091,27167,9177,748301,446965,138676,55036,99165,17468,7807,39681,79197,2543,3977,2083,35179,761545,441573,145672,58743,105069,20112,8601,542965,374016,77082,33613,49946,12296,4412,0,0,531756,367444,69792,34348,46630,8896,2279,30512,41330,2650,3080,0,600433,366223,98814,40084,75189,20435,6573,600433,366223,98814,31130,62368,3332,3643,3550,31373,535842,364851,73140,34877,49539,8677,2237,0,0,0,0,0,550132,366719,79578,37733,52146,8268,2409,33184,45899,1966,2409,552614,362996,82509,38060,55350,8774,2356,32392,48632,1624,2356,310516,165004,144166,291142,149945,141197,312846,158917,130674,298311,154614,143697,295312,157837,137475,323310,172191,143603,390775,217623,163088,304266,161474,138071,282035,151314,130721,284898,145205,139693,278840,144474,134366,281774,148745,133029,280102,148172,131930,277979,143858,134121,325804,174063,149063,366634,195637,158302,359039,190406,168633,352969,187063,165906,0.4019,61,0.2366,34,44
4,4,716346,415949,197667,22238,72211,18517,5099,0,0,750700,410851,222161,25589,83953,17987,5949,0,0,758116,383896,236146,27758,89804,33032,6452,760065,384742,236841,28171,89643,32572,6332,750559,406272,221110,27718,88265,18606,5833,15916,68908,3324,1683,2741,30594,759036,395688,229989,33713,91221,24785,5775,542305,339561,126725,14133,53720,12530,3347,0,0,512946,333935,105428,14887,47475,7561,1398,12590,42435,2319,2685,0,591002,322739,162279,18842,68630,23831,4451,591002,322739,162279,12865,57710,3660,1946,3286,26517,522068,334602,110240,15542,49608,7681,1278,0,0,0,0,0,530807,329222,118987,18032,51075,8613,1431,14624,44449,2195,1431,538599,321434,127903,18521,56411,8482,1987,14405,48564,2218,1987,280419,169004,110109,265860,156328,109532,294872,167192,107953,269716,154071,115645,265812,156585,109227,296680,172883,117615,361299,214496,138292,276168,157976,114322,251281,144035,107246,254090,139278,114812,250350,139749,110601,251231,141750,109481,250598,141851,108747,249510,138319,111191,298303,169544,126618,343934,191758,141847,335612,188223,147389,325465,181857,143608,0.3574,43,0.1616,15,33
5,5,728178,469076,174840,23031,46512,23788,5000,0,0,755740,449293,211883,24174,56391,23599,5963,0,0,770847,427728,223974,27790,63853,39379,7284,760066,424499,219949,24651,62902,38702,6805,758383,442511,216537,25057,60058,25768,6592,17465,45521,7637,2057,1862,24787,767406,432973,228870,28911,61387,29104,7017,554270,380399,112572,15697,32246,16577,3448,0,0,543076,366097,115960,15144,30239,12065,1885,13477,27016,6011,1897,0,599254,356309,152803,19657,45967,28642,5216,599254,356309,152803,14678,36827,6966,2252,3116,26303,547312,363920,119991,15708,32263,12008,1818,0,0,0,0,0,554536,359252,129980,17714,31565,12078,2026,13899,27384,5173,2026,565163,355588,139806,18915,33505,12599,2355,14885,28229,4920,2355,300495,129708,169075,284848,117606,167242,307542,117813,171874,289775,115047,174728,284652,117094,167558,314802,127196,182234,383759,159852,215543,291336,112701,175350,265186,101841,163345,269248,97124,172124,265468,98957,166511,266280,100474,165806,266007,100967,165040,265101,99208,165893,315296,122099,191517,362461,139201,214114,353836,135934,217902,345682,132146,213536,0.2253,0,0.2522,38,49
6,6,660228,390514,132557,57277,75290,16771,8818,0,0,718622,397005,157405,66609,94405,16124,9675,0,0,757442,385180,169087,71448,116531,29705,11783,760067,386058,169635,70555,115196,28618,11389,729698,395360,161004,67307,104341,18076,10135,47192,80473,2434,4062,1891,37276,755346,395279,169864,69983,115753,20961,9860,488283,309353,83506,36410,51974,11268,5722,0,0,492639,308239,80493,40373,50758,7121,3017,35625,45124,2232,3215,0,576315,314273,114231,48424,82961,21275,8149,576315,314273,114231,37704,68200,3010,4380,3329,31188,503827,309437,85047,40490,55462,7367,3138,0,0,0,0,0,525175,311291,94388,42319,63677,7458,3020,36642,56274,1881,3020,531350,306382,99513,43918,68941,7844,2047,36913,60004,1628,2047,253330,135907,116436,241342,126451,114891,267285,138060,110749,250773,130884,119889,247403,134003,113400,280074,149823,123928,357325,196529,151560,264769,140148,120617,241927,129278,112649,244740,124154,120586,239252,123483,115769,242048,126925,115123,240335,126748,113587,238455,122877,115578,289864,153642,133973,336344,176808,148595,326529,171756,154773,320345,168444,151901,0.2798,12,0.1178,4,12
7,7,685895,320951,148790,79685,133219,16973,12133,0,0,734938,324633,165800,83322,157176,22520,16027,0,0,758734,305474,176691,83508,179352,27418,15887,760065,305712,176798,82234,177508,26591,15425,741797,322569,169046,87334,160171,22406,16414,62734,135053,2295,10038,2445,37625,760201,318870,179029,87282,170377,26686,17149,507870,260386,94177,52186,94059,11465,8306,0,0,517027,266090,90523,52976,91601,5978,6293,47920,85831,2024,4404,0,586863,257777,121573,59436,131923,19874,11377,586863,257777,121573,48226,116329,2717,6998,3427,29816,522679,266142,93288,55008,91864,6229,6467,0,0,0,0,0,540077,266127,100934,55160,100602,6392,7048,47223,93903,1232,7048,549400,260436,105988,55328,108226,6725,8077,47574,100980,1343,8077,271828,155417,115228,266087,149719,116368,292191,164796,109416,275174,152680,122494,271407,155871,115536,302520,173292,123462,375056,220144,146476,280611,157071,120004,255479,142012,113467,258432,137450,120982,253299,136286,117013,255354,139967,115387,253972,139582,114390,252637,136342,116295,303505,168775,132585,346907,190078,145585,338744,186796,151948,333297,182876,150421,0.3942,58,0.1593,15,21
8,8,698219,252962,188917,124482,133703,14368,10396,0,0,744498,251657,220866,122068,153053,16249,10542,0,0,764945,233956,240299,124193,161905,28529,12709,760066,233055,238586,120878,160486,27671,12190,746720,248481,225955,121315,154676,16255,11723,96334,124425,2155,5256,4403,39701,760071,244130,235029,122828,160317,20676,13023,529635,212131,123286,89057,101093,9889,6673,0,0,502199,208992,102441,85402,90976,6121,3665,79540,84698,1720,5989,0,600387,201307,168167,93803,127210,21203,8712,600387,201307,168167,80212,110207,1950,4144,4356,30044,507397,207475,108750,84984,92019,5924,3787,0,0,0,0,0,519888,206610,117696,85634,95734,5976,3945,78688,87401,1878,3945,521724,199888,124125,83146,100117,5932,3861,75160,91826,1278,3861,265851,186922,77899,251898,179829,72069,276809,191499,69772,245702,167987,77715,241217,168024,73193,276068,192189,78798,343801,241492,94851,248861,171852,73852,219091,150945,68146,220992,148283,72709,218708,148215,70493,218737,148488,70249,218506,149028,69478,217290,146651,70639,268634,182637,84012,312348,204494,98040,303012,202635,100377,294230,195420,98810,0.3449,38,0.2207,30,38
9,9,656959,229518,229055,82712,121310,15759,9220,0,0,732436,219974,274908,97078,148974,40674,11580,0,0,762401,195127,288874,106947,172072,29342,13275,760065,194161,288030,104430,169287,28985,12567,741296,212856,281159,100023,156430,38743,11734,75599,124996,1624,4934,2637,37509,766642,208359,293120,101957,169601,43794,13199,467410,186592,142849,52491,83600,10229,5704,0,0,465057,179637,135390,58920,78201,6125,3207,54514,72364,1500,5021,0,567270,164929,195496,74526,125001,21038,9017,567270,164929,195496,63271,109361,2328,4970,3239,23676,477502,176298,143588,60991,82958,6193,3134,0,0,0,0,0,498649,174881,153888,62900,92422,6047,3764,58424,86487,1533,3764,507784,167408,159006,63744,102563,6455,4155,58540,95771,1740,4155,202986,124793,77287,201471,127800,73671,223768,135705,76029,195243,115096,80147,191676,116426,75250,225806,137572,84253,295299,183175,105771,201470,119833,79201,172954,101543,71411,175050,97749,77301,173090,99572,73518,173264,99097,74167,173093,99818,73275,172838,98327,74511,223219,128681,92837,268485,145369,114692,258996,144618,114378,250027,139311,110716,0.2404,0,0.0864,0,11
10,10,691847,410850,126257,34646,118305,10173,5954,0,0,754560,411687,141655,40888,159375,12103,8029,0,0,759118,374055,150964,41959,183728,19253,7613,760066,374313,151209,42013,182863,18956,7408,756995,397452,141402,45733,170578,12992,9385,32631,138949,1553,3171,2470,39366,756356,378059,146262,45704,182749,15920,7764,522946,330196,82891,22568,83412,6889,3743,0,0,516265,325791,71216,24297,85554,4207,1923,21869,76770,1221,3466,0,588180,310852,105421,29579,132198,14010,5218,588180,310852,105421,22452,115999,1180,2025,3275,26976,522020,321180,74339,26725,89751,4275,1753,0,0,0,0,0,527454,311026,79365,28096,99646,4275,1434,25474,89828,1203,1434,522871,296349,83496,28821,104330,4462,1381,24615,94520,1005,1381,322742,207870,114114,310503,193237,117266,332881,215821,96748,305299,194883,110416,296056,191203,104853,336412,220995,108548,413477,282092,122486,313899,206279,103176,284126,187203,96923,288088,185572,102516,283872,180089,103783,283908,185038,98870,283668,183789,99879,282788,179717,103071,334653,219240,112458,377829,246078,119171,364530,234543,129987,349727,225465,124262,0.3954,58,0.2445,36,55
