ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,743103,687290,23899,20604,6153,6127,614,0,0,757066,690850,28657,24862,8144,6608,920,0,0,767871,674765,37332,24950,9239,19531,1017,761244,692406,29941,25184,8748,6416,1167,16311,6255,1803,557,227,13745,769571,692606,32842,25769,9066,8006,1311,585669,548563,14856,13628,4324,4716,401,0,0,592933,560190,9030,15154,3271,4763,155,12934,2480,1610,435,0,616550,552337,23185,16903,6671,15172,685,616550,552337,23185,13278,4989,1545,322,1512,19382,597637,563366,10163,15546,3407,4838,158,0,0,0,0,0,606548,567638,11882,16448,4318,5490,104,12796,3144,933,104,614561,570132,15671,17074,5117,5716,108,13177,3671,559,108,284570,81140,198029,264497,68535,195962,280824,55039,214656,243592,68385,171769,243282,55428,185342,277288,62302,210212,336345,74137,256562,322974,67002,249332,348338,71642,273125,341903,68522,267287,330209,64034,257834,0.2852,14,0.2588,40,48
2,2,702257,614693,23099,47665,11819,6217,865,0,0,741104,636606,30419,52320,15822,6767,1232,0,0,767871,630610,41560,55734,18436,20061,1023,748959,640659,31856,53054,16230,6972,1086,44474,12217,1424,372,1689,16268,771744,653743,35647,56342,17525,7980,1094,548780,489077,14734,32480,8469,4651,569,0,0,570649,512296,10591,35179,7194,4727,340,32615,5962,1404,786,0,609503,513806,26468,38404,13658,15340,677,609503,513806,26468,33335,11140,1409,253,1668,21424,577602,517520,11395,35636,7720,4973,339,0,0,0,0,0,597568,532300,12807,37240,9188,5130,359,32882,7430,568,359,610063,538355,17561,38095,9598,5091,452,32769,7329,406,452,292419,100781,186399,268528,84473,184055,288684,85250,186902,261100,108539,148356,261432,92559,165875,295094,102151,187019,356252,122697,226786,347429,112477,229303,366789,118780,242963,364080,120394,237884,362070,111305,250748,0.3882,55,0.1635,16,28
3,3,725366,598276,25803,85340,10427,7402,838,0,0,758068,612916,35333,90481,13261,7508,998,0,0,767871,597466,44410,88094,15574,22174,1078,764852,615389,36602,91706,13617,7928,1098,80494,11211,1892,311,1678,17269,771454,612963,39810,91163,14131,10031,1163,566170,477185,16623,60396,7476,5525,523,0,0,582089,493374,12258,64392,6037,5484,178,62291,5235,1750,698,0,607013,485954,28002,63672,11359,17033,692,607013,485954,28002,58359,9031,1508,255,1634,22270,589290,498248,13604,64862,6456,5678,177,0,0,0,0,0,594162,501666,14401,63509,7638,6473,140,58987,6289,843,140,605425,507503,18887,64269,8251,6336,123,58165,6730,484,123,298221,109313,183968,277301,97418,179883,289486,86551,188419,260954,103861,153350,260509,90340,167585,292060,98590,188049,348155,115367,226465,339625,106708,226382,361360,113479,243146,356514,111506,237812,350351,102836,236552,0.3489,40,0.1572,14,27
4,4,664393,558414,33481,55691,12195,6481,702,0,0,730606,586631,45175,74369,16016,9925,805,0,0,767872,582497,61910,84304,20160,19723,1122,742520,590284,47712,78850,17575,8401,831,66142,13461,1603,278,1556,21486,771899,602092,54165,85691,19503,9315,1479,500574,430941,20044,37473,8209,4818,425,0,0,538835,458638,15653,49999,7414,6787,190,47761,6306,1436,593,0,587445,461084,38964,57907,13978,14896,716,587445,461084,38964,52465,11400,1613,243,1790,19886,549384,464134,16270,53604,8795,6178,188,0,0,0,0,0,571278,477283,19003,58353,10230,5723,203,52855,8550,739,203,585321,481129,23905,61369,11481,6112,321,54350,9727,517,321,256249,93020,157993,238063,80535,157528,257047,70072,175876,225256,83830,138262,225115,74556,148167,259998,81225,173863,324528,98034,220500,309551,88197,213683,336883,93024,239833,329274,91526,230276,313259,83837,219136,0.2278,0,0.1897,22,32
5,5,612770,461490,45316,81640,21831,4908,766,0,0,713776,521255,54940,101031,32586,5431,1056,0,0,767871,531224,79120,102908,40160,15364,1189,730366,525635,58627,106030,33770,6214,1081,93866,28018,831,203,2591,20591,767040,547733,63909,110765,35876,7169,871,460904,358617,28454,56762,14868,3461,493,0,0,502147,400359,16436,69226,12048,3085,112,67186,9910,915,939,0,582505,418881,51058,73823,27435,11531,782,582505,418881,51058,67856,23391,1133,201,1936,18049,513576,407222,18279,71413,12496,3489,102,0,0,0,0,0,542129,428447,20434,73907,14838,3697,82,69864,12346,533,82,557659,431530,27787,75695,17366,4151,182,70334,14072,491,182,278333,114835,159896,264843,103585,161258,289102,111405,160782,270439,133876,133970,271283,116069,147199,303342,129464,165595,364786,157650,198868,357439,142195,205990,372745,150048,216736,368537,147876,213513,360231,141997,205240,0.244,0,0.1306,8,12
6,6,693520,572595,37253,71036,8069,6371,910,0,0,743233,600811,45135,80195,10719,6980,1228,0,0,767871,596648,59323,79753,12965,19716,1078,752218,604937,45586,81679,11563,7159,1105,73980,8147,1726,382,1460,15995,773497,613908,49910,84557,14018,8352,1868,534027,452837,23538,48159,5645,4841,573,0,0,558501,481195,11949,54325,5159,5107,265,52639,4120,1754,775,0,603423,483180,38463,56693,9376,15119,757,603423,483180,38463,51705,6851,1535,248,1512,19929,569231,487984,14112,55301,5691,5551,261,0,0,0,0,0,587576,499301,16355,57971,6807,5828,262,55278,5137,875,262,596568,504126,22236,55772,7109,6297,290,51741,5120,611,290,276061,111676,159095,255474,96533,158941,276975,88343,176471,262011,114714,143809,262554,101299,155355,289654,105594,177834,348142,120085,221543,332471,108820,215736,358723,114088,240187,349587,113107,229378,331878,106222,225375,0.3045,22,0.2367,34,46
7,7,664818,488990,33853,124820,13898,7181,1653,0,0,726085,521687,46067,135101,19003,8136,2506,0,0,767871,533197,57129,138302,22558,18400,2659,733561,527383,47213,133172,19988,8572,2767,119379,14147,2107,929,2429,19988,765868,540944,52491,142623,22191,11477,3092,503428,380773,21250,88043,9949,5123,984,0,0,543399,412789,19777,94729,9474,4953,687,92052,7448,1865,1526,0,597796,429888,37116,99724,16900,13766,1620,597796,429888,37116,91844,12619,1661,791,2199,21678,551758,418888,21032,94660,10101,5197,695,0,0,0,0,0,577310,434488,24165,99702,11579,6175,427,94140,9134,1103,427,590790,441771,28069,100522,11478,6859,548,93362,8659,852,548,263158,125760,132814,246771,111001,135770,256478,99393,143635,235134,115410,116538,235325,101332,126928,266769,112483,146984,328624,135688,185391,315988,122389,184351,335476,128044,202555,328458,124544,196490,322901,123074,191945,0.4234,69,0.2642,41,50
8,8,758626,580505,19223,142934,12492,4934,453,0,0,757797,566967,23886,146795,16279,5534,589,0,0,767871,559984,27811,144048,20101,14713,934,756583,566284,25224,144069,16082,5717,593,133899,13478,1602,194,1302,14607,764685,564839,26044,146200,18542,7521,484,577083,452565,11783,101472,8374,3710,277,0,0,571102,446406,9260,104529,6415,3712,163,102739,5594,1593,786,0,597005,447346,17498,105799,13713,11250,676,597005,447346,17498,101100,11622,1269,160,1337,16673,573302,449743,10008,102785,6270,3752,151,0,0,0,0,0,580966,451251,10714,104507,8326,5137,202,101035,7098,1067,202,581023,445861,12916,103958,9392,7653,355,99360,7720,1035,355,336841,115830,215765,317998,103941,214057,313143,90202,212328,270059,94946,171199,269606,82361,183758,303776,92420,206184,360131,110267,244692,346718,96124,243195,344241,98538,241830,336622,91864,238628,328147,84622,236638,0.5614,100,0.2779,44,69
9,9,781252,238529,48132,477448,16514,5253,984,0,0,781621,213835,54562,495087,17125,5312,683,0,0,767871,193855,70592,478021,19490,11754,908,781965,206394,54401,500319,17985,5510,814,490055,14874,826,213,2550,12643,768014,196136,57804,493767,17652,6291,803,573469,197019,30724,332644,11928,3791,621,0,0,556988,179197,12522,354014,8012,3040,172,351462,6929,774,837,0,583233,165820,44963,351812,15300,8954,640,583233,165820,44963,342265,12882,1072,152,1969,14110,560523,174917,13905,360042,8697,3117,159,0,0,0,0,0,549195,166257,15024,357243,8364,2791,76,353449,7391,453,76,534171,155520,18673,347643,8742,3242,520,342421,7606,406,520,322765,235082,85219,285595,211806,73789,256288,184440,63856,215195,161889,50230,214188,150919,55897,242836,175771,61578,286026,209786,71668,277904,196779,72954,239387,168622,66490,232633,158122,67475,227909,159943,61223,0.2926,17,0.1176,4,19
