ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,753873,522120,155967,19334,34553,13051,17797,0,0,797367,523195,178804,23766,46010,14207,19854,0,0,817904,509693,193681,28127,49153,23097,24184,799905,521366,179924,25043,47321,13569,21763,16645,36105,5269,15746,22291,815425,517016,192260,29351,49312,19172,22436,544762,400255,95004,10722,24663,8324,10048,0,0,521532,407006,66753,10128,20611,6773,7488,8570,17191,4506,7488,2890,0,617587,408065,128944,17456,36685,16374,14673,617587,408065,128944,12476,29576,4518,11745,19460,528370,408666,69404,10467,22204,6465,8329,0,0,0,0,547631,412931,78506,12176,25346,6950,8403,9060,20357,3359,8403,559552,409553,89606,13099,27503,7378,8872,9462,21481,3408,8872,258704,139578,111684,248707,114333,134374,282553,137551,79292,277293,131734,129139,281225,141361,128410,273166,118717,125205,265901,135966,113757,262336,136939,108854,279961,145386,120560,308470,163276,132401,355994,214978,127378,346540,181499,150711,344268,192049,132050,304078,0,186207,300884,0,186260,328461,184527,130306,327300,197553,120241,318055,175798,130943,323971,164490,127241,317067,151381,116224,311485,168751,130149,310250,161033,132658,315009,176759,124890,0.4143,66,0.3972,74,70
2,2,702195,585813,79919,11582,16906,8737,5056,0,0,777553,633859,98251,14242,21944,10478,6597,0,0,817904,647137,108723,16538,24757,18168,9345,789515,640868,100750,14495,23118,10368,7152,7649,11984,3252,3704,20279,820977,658210,108159,15287,24768,12455,7484,474345,404755,46953,6146,11029,5367,2631,0,0,515964,444108,45515,6754,10999,4742,2372,5318,7492,2546,2372,1586,0,571033,462555,67782,9664,16386,12179,5219,571033,462555,67782,5992,10752,2894,3195,15996,527103,451597,48541,7147,11301,4825,2246,0,0,0,0,556109,472634,54566,7784,11965,5100,2232,5903,7968,1904,2232,575512,485327,58663,8385,13334,5275,2460,6073,8699,1638,2460,245459,69735,168098,253453,49750,203703,290267,62814,136536,287784,63446,210455,289428,67389,207922,283821,57591,199068,277965,71724,187350,276496,76213,179951,264228,65298,180254,314857,82090,217723,366928,119335,230690,357098,90621,245849,361562,104323,235502,338786,0,258030,338340,0,258437,347011,100798,227530,369086,125175,231962,364475,100126,240860,366253,87606,210474,358880,84441,220309,354053,95073,236360,351466,89160,238843,360184,97810,241938,0.3663,47,0.3903,73,75
3,3,703768,584568,76459,6037,12611,21987,7738,0,0,789632,645075,92961,8110,17040,23903,9689,0,0,817904,644717,106083,10180,19528,30353,12520,797196,647262,95395,9050,18087,24069,10467,4487,9525,16124,4882,18406,821965,661497,100684,10276,18655,25258,11275,488130,415644,45752,3022,8552,13528,4226,0,0,530883,465913,35978,2919,6999,14044,3032,2074,4398,11305,3032,2087,0,588889,475740,67958,6071,13319,20338,7441,588889,475740,67958,3128,8071,11038,4267,16816,542572,472374,39486,3309,7787,14281,2893,0,0,0,0,568874,491968,43835,4098,8639,14085,3108,2480,4876,10560,3108,591946,507347,49771,4599,9619,13855,3218,2634,5389,9028,3218,241962,60553,173188,248908,41658,207250,284260,54102,162997,280101,52156,215979,281598,55136,212975,276114,49706,201864,271342,60202,195602,270036,62093,188698,257009,56267,180657,314055,70798,229005,377057,104465,257824,359309,81005,255775,366743,89427,257004,339946,0,275210,340279,0,272509,354222,87547,248425,385908,108346,267996,381450,85412,270976,382590,75977,217703,377184,75524,251510,371851,83469,269775,369086,78286,274322,377199,89488,269629,0.4325,73,0.3588,65,60
4,4,603557,528772,45975,6254,13669,6280,6178,0,0,732296,623518,64816,9354,22064,7045,9888,0,0,817904,663808,84425,12283,31650,15616,13198,764623,645696,69998,10651,23842,8634,10046,6201,14447,3089,4488,18556,825442,684508,79740,11977,30486,12318,12603,385332,342646,26775,2682,8026,3639,3017,0,0,460611,411576,28025,3965,8971,3457,2734,2734,7018,2075,2734,1899,0,546542,451640,51926,6688,19891,9883,7164,546542,451640,51926,3774,14426,2535,4217,15977,484825,429891,31906,4596,9282,4125,2933,0,0,0,0,531946,467089,36803,4883,12053,4753,3322,3319,8744,2043,3322,564154,487989,43919,5761,14060,5389,3175,3829,9777,2285,3175,207352,57597,142782,234900,42766,192134,274295,56209,136406,270430,54524,204668,272687,59463,201543,266196,49557,192927,259784,61733,182966,257219,62752,175222,261647,61590,183744,317413,78882,224976,387697,121504,249247,375763,89629,266418,378223,103701,254296,355551,0,281398,353626,0,276908,367704,101746,248052,405497,131149,262883,398648,102889,271196,403698,92228,225448,395359,89673,249735,388500,99081,269558,386071,92165,274242,395217,106700,272144,0.5588,100,0.5589,100,100
