ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_SEN_ROFF_Total,E_16_SEN_ROFF_Dem,E_16_SEN_ROFF_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_GOV_ROFF_Total,E_19_GOV_ROFF_Dem,E_19_GOV_ROFF_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AG_ROFF_Total,E_23_AG_ROFF_Dem,E_23_AG_ROFF_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,719658,553712,55388,85861,17269,9785,812,0,0,764282,568259,69700,99111,21219,10053,552,0,0,776327,535770,90968,108188,24737,19877,1021,761761,565836,68928,99237,21343,10596,572,87053,16642,4060,232,2097,16913,768445,556969,69175,106290,23263,14535,1430,553964,435846,40808,58894,12666,6722,567,0,0,566037,450638,31303,66998,10605,6118,107,64883,9287,3006,736,0,603907,432097,64365,76646,18020,14279,708,603907,432097,64365,68653,14208,3196,225,2520,18643,564865,448690,32270,65214,11268,6329,142,0,0,0,0,0,574434,448610,33746,70846,11938,7045,732,66803,10281,2470,732,571591,433012,44273,72030,11971,7408,866,66646,9767,2478,866,326461,81538,238147,321950,86861,235089,355056,94156,244244,342736,85123,249325,156274,41144,115130,226802,97112,127494,257247,116404,140843,220772,52826,167946,223357,45483,177874,317679,89825,220702,387504,114481,265761,379115,96325,269830,304155,87605,210068,260570,71205,185259,256136,63491,186484,292018,74940,209343,192150,35813,145546,185189,39072,146117,111434,27840,83594,189935,22700,162415,183054,39756,140364,181074,41013,140061,296042,78171,211630,376557,112920,256662,357720,85911,265028,0.4883,95,0.1541,14,33
2,2,734642,269376,46439,397245,21915,6402,809,0,0,787722,279398,55111,429417,23690,6985,682,0,0,776316,260930,74305,412387,26015,13140,946,792799,276763,58374,432199,24386,6347,811,417994,21097,1416,27,3562,13568,775042,266041,63727,416354,24649,11568,935,554203,219316,34712,283219,16615,4569,566,0,0,581879,227711,24423,312420,12822,3522,30,309457,11970,1273,1218,0,598204,217823,51406,305124,20319,9907,682,598204,217823,51406,291935,17287,1740,160,2565,15288,586911,227294,25119,316900,13667,3490,30,0,0,0,0,0,573719,220219,26329,306759,14841,5680,96,301375,13243,1458,96,560096,210113,32511,296002,15879,6450,161,288720,13991,1549,161,309117,198892,105274,312692,214442,98250,326406,215052,100617,305763,189859,106978,138020,92865,45155,207547,153524,52090,243445,188271,55174,195413,118662,76751,197474,110241,87233,286241,186685,93274,355067,237958,111289,333528,205766,113469,270740,177276,87940,211532,132642,74606,208626,132005,72642,254160,160093,87613,155680,85415,61860,149213,84622,64591,88834,53623,35211,149844,61627,83942,149834,85572,62342,146049,84831,61218,253305,158927,88652,320161,207146,106785,305184,216491,88693,0.2033,0,0.1093,2,12
3,3,756278,529721,24401,177472,12428,14122,832,0,0,780873,533798,33164,186412,15350,15867,611,0,0,776287,506088,43292,189998,17466,21275,914,777066,528791,32954,187424,15375,16140,602,172817,12300,9030,146,1722,19305,773113,519659,34926,187426,15686,17192,961,563645,409583,17029,119643,8873,9216,542,0,0,575072,416494,13714,127784,6539,9628,42,125133,5911,6921,1210,0,588557,400099,29021,132825,12454,14686,620,588557,400099,29021,125808,10688,6411,180,1677,14673,573745,415048,14510,126819,6941,10168,43,0,0,0,0,0,573150,411649,16009,127451,6875,10800,182,123066,6298,5664,182,567312,403377,20335,124892,7684,10334,251,119631,6759,5039,251,324104,102754,214641,324251,99035,225216,341005,92366,237126,326589,74286,240157,142810,35901,106909,228900,80261,147001,247311,92527,154784,223195,51959,171236,222291,49423,172868,300712,79239,214845,352293,98140,248217,340503,80873,246579,284512,75676,203345,228418,52588,171341,225989,38991,180895,269730,64949,197691,185792,33331,138933,180369,35325,145044,129950,27688,102262,181379,23411,153120,179324,34263,143058,175829,40433,135396,269214,64617,198556,335590,89993,241083,320682,81157,239525,0.2507,0,0.1818,20,33
4,4,771772,559526,26127,166285,10768,12280,1309,0,0,781818,553943,33835,172864,11836,12450,1445,0,0,776302,530753,39630,169212,14693,22411,1664,782673,551308,34834,174104,12244,12544,1191,164677,9033,4883,401,2049,15474,772869,539412,35818,169644,12515,14657,1036,583583,432533,17162,119211,7575,8661,861,0,0,586351,430965,16369,124501,5679,8027,275,122796,4636,4113,896,0,593646,416483,27348,122168,10472,16438,1060,593646,416483,27348,116162,7825,4658,456,1543,19171,587336,430864,17084,124574,6122,8051,281,0,0,0,0,0,578622,425009,16751,121180,6027,9247,243,117783,4712,3238,243,572895,413216,19438,123364,6540,9620,356,118899,5030,2956,356,329682,90139,233349,327909,87289,240620,337511,79696,247373,322571,77703,238500,140336,36688,103648,224197,67198,155297,248414,83436,164978,216955,44101,172854,217409,44786,172623,299678,71312,223409,357977,87747,264726,348167,75151,263226,284905,66328,214032,235237,48106,183249,76953,9859,66665,269178,57769,205639,178001,27902,138451,171159,32641,138518,106302,23115,83187,173577,22419,146329,171478,30031,139257,170212,31847,138365,269725,57738,207165,336551,78192,254317,306248,0,306248,0.4069,63,0.082,0,29
5,5,752311,500614,19542,218508,10191,5750,566,0,0,762245,495332,24240,225046,13266,7071,730,0,0,776285,484005,38166,225122,15094,14265,814,766488,496010,23894,227516,13924,7211,635,218695,11021,1935,102,784,14055,778003,492053,26281,234576,15377,9223,827,566654,390506,13554,152197,7596,4234,348,0,0,571484,390915,10562,159391,6349,4558,44,157328,5693,1456,600,0,597217,387349,26564,160995,11287,10573,552,597217,387349,26564,154977,9266,1765,136,1261,15899,575319,393067,11111,160132,6479,4868,75,0,0,0,0,0,586254,393780,13637,166414,7298,5767,199,162324,6119,1294,199,582698,384822,19247,164842,6857,7023,281,159710,5560,1250,281,327017,106078,215288,321548,108455,213093,332865,103611,218436,317761,96715,212382,148150,46139,102011,231078,95158,134550,251202,116059,135143,222102,60061,162041,223574,58619,164955,296242,92901,197719,345629,111210,228783,335474,92966,231746,281579,87299,189417,230079,63079,163098,224005,33876,180129,266643,75956,184602,185617,42876,132527,179176,44803,134373,120462,32713,87749,181434,29512,145189,178770,43243,133260,175914,44923,130991,265611,75612,184840,323864,100557,218462,319815,83002,236813,0.324,30,0.0809,0,8
6,6,798628,321935,20663,441431,11764,6740,551,0,0,787422,305157,23114,443231,12658,7408,777,0,0,776240,279156,36188,438212,13831,12160,741,783829,301930,24388,440202,12395,7867,1225,427835,9883,2004,619,2708,14467,773074,295032,25657,433615,12958,8465,556,593267,259877,14826,307055,8700,4787,394,0,0,578586,246076,8373,314307,5450,4116,224,311341,4886,1595,1194,0,589017,228259,24958,318011,10395,9022,538,589017,228259,24958,308976,8709,1761,165,1958,14231,579618,243966,8991,316518,5322,4706,365,0,0,0,0,0,572723,238679,9935,312333,6085,5097,256,306008,5007,1158,256,559557,228085,13203,304946,7315,5156,403,297751,6135,1049,403,350060,203588,141576,349784,211240,138544,336189,195273,130842,318215,171602,138547,158417,95079,63338,224957,143710,80002,261165,177801,83364,213431,108893,104538,213760,105004,108756,295127,167519,121845,349592,206498,137000,334756,179908,142441,278188,157756,115316,217454,113445,99290,141415,40710,86886,259057,141577,111326,165258,77850,78848,158604,77668,80936,112612,60071,52541,159425,52319,102305,158709,77372,79376,156138,78376,77762,255852,138855,111592,314252,178062,131196,296069,184275,111794,0.1188,0,0.0527,0,1
