ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_22_SCC_Total,E_22_SCC_Dem,E_22_SCC_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC1_Total,E_24_SC1_Dem,E_24_SC1_Rep,E_24_SC2_Total,E_24_SC2_Dem,E_24_SC2_Rep,E_24_SC3_Total,E_24_SC3_Dem,E_24_SC3_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,737655,542302,17254,154112,21065,5180,874,0,0,763525,551339,23621,157423,29119,5463,767,0,0,786630,547539,29652,157029,37437,13748,1161,768546,553407,24703,156114,30607,4982,849,140792,25470,409,361,3075,20330,785232,560735,27752,156656,34559,6881,709,555624,420329,10956,107327,14701,3697,545,0,0,564002,432327,9742,105959,12239,2905,278,101622,10745,365,1178,0,606393,438128,18777,111484,26521,10111,754,606393,438128,18777,103989,22675,843,249,1978,19754,569321,436281,10905,105539,12656,2822,354,0,0,0,0,0,581937,445611,12962,105596,13712,3515,178,99782,11719,268,178,587998,446564,14982,102582,15636,7717,293,94837,13265,506,293,372904,181748,186847,362209,174560,187649,372005,171637,183796,366300,133555,217644,309567,162050,147517,310955,145717,156644,306739,149939,156800,344730,160422,176878,405878,200126,199450,325526,154409,167933,289712,144708,145004,290359,120128,170231,290027,128110,161917,286613,127681,158932,288944,126134,159438,286899,127417,159482,289940,139936,150004,287889,133179,154710,288382,134826,153556,288886,135489,153397,344236,163485,177504,397244,191603,201912,395224,195507,186498,387260,192882,194378,388290,178518,209772,387173,182430,204743,383981,184717,199264,0.2135,0,0.1453,11,15
2,2,802059,758630,8229,21045,7205,7924,456,0,0,794218,744393,10817,23780,8872,7195,593,0,0,786629,718703,11994,25109,8536,18488,709,794261,741902,11447,24303,9126,7252,651,15044,6296,1225,297,1122,16924,785441,728707,11871,24405,9719,8283,486,615247,584909,5122,14530,5183,6032,300,0,0,615395,584462,6014,15632,3608,5156,108,12886,2410,1143,591,0,616067,567707,7760,17464,6062,13906,449,616067,567707,7760,13353,4429,1587,90,1340,19801,616786,585119,6566,15668,3588,5493,167,0,0,0,0,0,611088,578170,6943,15292,4202,6028,126,11847,2794,778,126,610783,575286,7435,16012,5126,5808,180,12028,3322,543,180,360432,151177,201080,340103,144560,195543,353812,103858,235154,347336,99254,232415,274759,112447,162312,276537,94228,173903,271353,94042,177311,315752,102042,206929,378358,111600,261545,296263,91354,202629,260446,84825,175621,259263,66928,192335,261037,71261,189776,258641,74311,184330,260438,71540,186149,258738,73437,185301,260120,73865,186255,259309,76696,182613,258851,77713,181138,260041,78017,182024,316401,93195,220819,376022,107317,265831,370720,116617,240060,361603,105870,255733,358933,107856,251077,354197,105505,248692,356941,107818,249123,0.2377,0,0.237,34,40
3,3,690348,427301,30443,201892,29697,6739,1006,0,0,770933,442449,41291,238263,47249,9399,1482,0,0,786630,433335,49377,241098,53032,14451,1234,780090,441239,43624,242490,50232,8539,1806,218311,40136,1152,372,2785,32464,785457,434586,44889,249756,51858,9627,1721,537450,355122,19938,137743,22848,4753,634,0,0,555489,364591,16406,149542,18761,5217,197,140986,15833,1228,2670,0,615714,366086,32826,167620,40244,10657,899,615714,366086,32826,154333,35026,957,215,3085,23186,563929,365683,17377,153689,20723,4596,205,0,0,0,0,0,566870,364122,17752,156802,22799,4328,95,146864,18686,396,95,566459,355288,21265,157476,27052,4100,247,146648,22556,341,247,347638,224520,118677,350131,231445,118686,357640,239177,101909,351819,200153,137466,303095,223000,80095,304764,208906,89153,300861,203064,97797,332761,224326,101721,381894,271664,104532,303077,208669,91457,260033,186641,73392,260362,163058,97304,259989,168484,91505,257093,170663,86430,259243,166559,90129,256450,170243,86207,258859,182387,76472,258054,176502,81552,258019,178047,79972,258681,179176,79505,311552,215135,94211,358346,249431,105242,353651,251373,93313,343120,242721,100399,316169,223944,92225,312364,219115,93249,336935,235330,101605,0.5928,100,0.4919,98,93
4,4,774881,698030,14256,49811,8321,5810,742,0,0,775702,687363,18793,54195,11021,6392,771,0,0,786630,675247,21547,55694,14579,15945,1599,779318,686669,19285,54637,12153,6667,1261,39019,8571,903,516,1224,23130,787447,686394,21178,56825,13893,8364,1209,582489,533026,8392,32234,5430,4054,411,0,0,586415,532931,9786,34634,4629,4029,156,30393,3546,1070,927,0,601807,528111,13238,36465,9650,11368,935,601807,528111,13238,30920,7854,1166,514,1605,18399,590109,534404,10046,35104,5570,4370,196,0,0,0,0,0,597082,537832,11630,35858,6289,5118,317,29382,4559,644,317,599839,538360,13141,33927,7317,6485,254,26802,5176,693,254,374220,146144,220004,358777,136372,222405,359204,100316,242527,355466,82431,255872,288776,111291,177485,289786,88596,191899,286658,88001,198657,327315,96733,223149,393787,114210,273297,311670,90458,218889,280430,86074,194356,278423,64113,214310,281041,68165,212876,279632,70277,209355,281136,68979,209323,279110,73427,205683,281284,77547,203737,279761,75394,204367,278885,76858,202027,280662,77453,203209,335895,94916,238683,396335,111941,280927,393040,122114,256457,388315,109072,278179,379579,112203,267376,379372,108366,271006,378553,110354,268199,0.298,19,0.2771,44,50
5,5,779629,674383,46196,48471,8968,6265,569,0,0,781592,662409,55824,52974,11338,7289,676,0,0,786630,648723,58729,52474,11887,16019,834,782100,659753,57284,52208,11881,7041,813,35669,8136,1553,211,1218,18266,785927,655733,60147,51566,12497,8528,759,596987,528689,28004,31465,6244,4406,369,0,0,602017,527630,33466,31911,4634,4101,134,28498,3660,1176,645,0,617589,523448,37924,35061,8374,11775,586,617589,523448,37924,28206,6354,973,156,1426,19102,602942,527077,34719,31905,4778,4002,174,0,0,0,0,0,608969,528677,37406,32492,5562,4650,194,26212,4122,733,194,611367,527196,39329,33848,5603,4339,181,26416,4099,550,181,377700,190203,179215,353886,177051,176835,356252,134880,202111,349930,112955,216991,281374,142861,138513,283087,118362,154747,275564,119997,155567,321010,129313,183258,388919,150175,232535,305996,119766,183500,273642,114160,159482,272703,85517,187186,274318,92424,181894,270782,95338,175444,273607,91650,178875,270883,95345,175538,272237,102590,169647,271764,100883,170881,271919,103516,168403,272969,103317,169652,328584,124620,201470,387528,145964,238010,382206,157289,210141,370883,134760,234316,364847,145154,219693,360833,139001,221832,363770,142834,220936,0.3435,37,0.2642,41,44
6,6,811569,724545,17891,61504,4968,5480,645,0,0,792438,702309,21789,61568,5939,5508,627,0,0,786630,675162,25658,61524,6156,16010,721,789330,696794,22359,61403,6269,5640,684,46900,3637,785,58,846,17962,785934,688116,24286,61434,6428,6834,980,627910,568900,11779,41499,3346,3878,442,0,0,617400,557532,12468,40243,2907,3501,18,36657,2054,1017,937,0,619332,542227,16201,42319,4207,11628,478,619332,542227,16201,36619,2831,1008,159,1245,19042,617443,556778,13141,39817,3316,3666,45,0,0,0,0,0,614783,552866,14271,39532,3094,4136,116,34146,2214,534,116,607911,544975,15143,39363,3308,4003,108,33354,2039,510,108,387131,200769,176632,362327,183095,179232,358366,126116,217308,351483,116616,214749,280552,133717,146835,281162,113575,158605,276594,115303,161291,320361,122316,190520,382138,131306,245482,301362,106727,192594,266863,99176,167687,265083,72390,192693,266429,79497,186932,262952,84447,178505,266005,80367,182827,263821,85442,178379,265708,85799,179909,264203,88409,175794,264286,89337,174949,265727,91545,174182,316544,105334,209134,365518,118027,244557,361404,129998,217657,353136,115352,236649,346818,123485,223333,349138,119169,229969,347174,121299,225875,0.4383,75,0.265,41,51
7,7,769838,706021,17416,22669,20949,3854,559,0,0,768261,684344,22914,32578,26062,4666,787,0,0,786630,678794,28927,32769,29809,12405,785,766993,675455,25757,33623,28140,4457,734,24367,21630,881,145,2194,16567,782979,677773,30234,37707,30922,5498,803,595445,553156,10778,14754,14504,2651,330,0,0,592295,542588,13677,20650,12535,2439,133,18208,10815,612,598,0,627367,552216,19008,22404,21247,9068,540,627367,552216,19008,17986,18441,704,131,1619,17262,593087,539819,15409,21068,13870,2456,120,0,0,0,0,0,606062,546128,18072,22821,15606,2725,102,19398,13068,424,102,605504,541520,20278,23479,16281,2809,172,19486,13073,413,172,410618,200643,203564,396133,191121,205012,393850,164824,211861,382980,129235,233586,323624,169228,154396,325413,147575,168832,318424,153301,165123,363000,159715,195023,436786,194811,236653,348380,153507,191887,314049,150833,163216,313879,116995,196884,313309,124861,188448,307105,125734,181371,311480,122733,185620,306912,126616,180296,308371,137068,171303,307824,134513,173311,308439,138128,170311,310032,139043,170989,370025,162481,204789,426048,187691,234785,420825,199798,208715,407933,147967,209961,393012,180406,212606,401027,182362,218665,390466,178301,212165,0.2908,16,0.1894,22,24
8,8,760664,615768,22713,98512,20368,5053,944,0,0,771145,597189,27392,112889,29819,6651,1020,0,0,786630,577386,37566,119943,34920,15616,1515,774185,589590,28918,118140,32213,6107,1442,99864,25131,958,242,2282,27200,784535,584202,31340,126421,34108,6668,1664,574361,478576,13873,65169,14223,3577,551,0,0,571250,470775,9498,74256,11903,3759,201,69944,10419,900,1422,0,606853,463289,23195,82341,25199,11343,987,606853,463289,23195,75353,22120,945,573,2067,19311,572945,468275,10802,76060,12560,3812,81,0,0,0,0,0,580825,468955,11415,81003,14634,3815,178,74830,12534,424,178,578587,457460,15006,81428,17086,6560,249,73503,14158,706,249,395666,160698,229275,386745,154581,232164,387084,146732,223385,381908,113297,253680,313015,144078,168937,314005,125535,179184,308644,129183,179461,352519,138516,206504,414210,173573,234543,331279,132507,195719,292531,124690,167841,293418,99649,193769,293495,107129,186366,290586,107902,182684,292768,106337,183377,290660,108186,182474,292541,115607,176934,291646,112864,178782,292013,114155,177858,292566,114837,177729,348688,141314,204297,402587,167929,230834,399671,173623,212438,390625,162056,228569,393438,157025,236413,391936,160720,231216,388149,161916,226233,0.3442,38,0.1821,21,29
9,9,798063,635298,45507,104035,11660,6829,534,0,0,779923,605904,51637,108062,13616,7448,830,0,0,786630,591847,54865,111971,13949,16087,720,779056,600855,53269,109364,13805,7467,945,89182,9636,1507,216,2457,21936,784899,598823,56061,111583,13910,8519,961,606483,500282,26813,68647,8171,4811,349,0,0,592582,482520,30184,70040,5390,3849,191,65741,4357,1367,791,0,611413,478591,34739,75784,10059,11721,466,611413,478591,34739,67668,7780,1107,136,1830,19562,593565,481196,31257,70564,5962,3822,194,0,0,0,0,0,600613,483474,33477,71730,7086,3875,226,66582,5549,741,226,597628,478326,34508,72328,7373,3877,236,65962,5597,403,236,408318,230248,170455,385025,217502,167523,375717,168618,186743,368445,144859,205721,291573,164828,126745,293930,141449,142344,289036,143650,145386,333769,156655,168773,392775,179884,206332,310163,141086,166021,269805,129691,140114,271241,95968,175273,270386,108709,161677,267205,110730,156475,269714,107066,159664,267131,111628,155503,269306,142356,126950,267771,115859,151912,268226,117041,151185,269403,118388,151015,325840,143272,179752,381139,168624,208947,377173,174262,186699,377834,172281,191979,365067,167100,197967,366278,164428,201850,364698,166554,198144,0.2396,0,0.2638,41,35
10,10,772831,592195,17957,140292,18821,6699,867,0,0,776593,581965,23851,143660,23033,7257,1347,0,0,786629,559662,31642,150861,26646,17993,1404,778461,579419,24433,144931,23911,6957,1734,125735,17257,913,270,2528,27908,784471,576731,26865,148079,24973,8184,1863,595074,470047,11238,97353,13286,4831,535,0,0,588848,464229,10894,98419,9813,4398,171,92973,8035,905,1634,0,614280,453879,20414,106565,19322,13383,950,614280,453879,20414,97176,15227,1153,296,2389,23746,591558,464682,11806,99497,10187,4377,112,0,0,0,0,0,597061,465113,13506,101399,10854,4693,144,93691,8600,461,144,598362,459575,16817,102866,12621,4552,177,93316,9329,230,177,395295,193269,195972,374699,182346,192353,370936,161065,192717,366204,128750,221556,297139,154638,142501,298231,132404,156742,293978,135645,158333,335507,148793,179124,391473,181210,203762,312491,139851,169820,273679,128739,144940,274887,102539,172348,274300,111094,163206,271202,112532,158670,273182,110635,159510,271178,114039,157139,271968,102639,169329,272294,117734,154560,272602,118249,154353,273328,120298,153030,327116,146078,178221,379147,172975,202500,375704,179185,182955,371181,143548,217215,364333,167593,196740,357526,162221,195305,361708,166707,195001,0.3954,58,0.4249,81,71
