ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,801060,367684,24040,384532,23651,6982,826,0,0,779607,342123,27808,378588,27551,7554,850,0,0,769364,318770,34678,373011,31648,14081,887,776710,337694,28114,377266,28051,7312,688,359681,22435,1366,175,24200,767926,330198,28731,371842,29098,9115,728,617888,311286,16325,270054,18573,5136,583,0,0,586970,289256,12330,268156,12177,3906,97,263088,10715,1192,97,2191,0,609962,275838,24149,274562,25535,10938,665,609962,275838,24149,262616,21350,1159,176,21530,589332,289484,13573,268188,12857,3788,118,0,0,0,0,584695,285881,14597,265228,13816,4856,152,256897,11620,711,152,571573,275636,16148,260110,14057,5101,152,250766,11421,592,152,418467,327615,86503,381561,298469,83092,352251,264225,72723,352849,273534,67270,352525,268885,72464,346235,259954,86281,349323,260803,71483,309075,247220,55142,345270,266749,69832,356554,280382,70459,355656,272873,74903,350403,262619,79544,351348,265715,76036,352396,259716,82790,350025,260620,78899,319684,248434,64662,316509,246418,64299,315238,244501,60652,313895,237244,69580,309246,235104,67093,309862,234356,62704,309722,238565,62265,309335,231361,66554,309316,234639,57323,0.5678,100,0.4627,91,73
2,2,748735,677644,15094,22549,29398,4853,634,0,0,759452,673148,17184,26985,37614,5206,732,0,0,769364,648395,22242,31657,44611,16409,833,757735,661617,17835,27120,39830,5241,663,21349,33464,1224,319,20398,762786,646337,19536,29965,42720,6207,811,573957,526277,9655,14901,20040,3344,373,0,0,576446,528839,8687,18082,16789,3307,220,16640,14990,892,220,694,0,603006,518559,14600,21318,31414,12109,540,603006,518559,14600,17967,27983,1076,152,20949,573140,524536,9087,17782,17776,3401,145,0,0,0,0,579105,525684,10380,19178,19390,3577,257,17101,16937,529,257,579080,522013,12607,19459,20203,3696,171,16884,17620,410,171,409963,186760,218236,379655,153794,225861,400242,152991,227850,401807,183986,202636,401899,177778,210322,394054,151773,242281,396858,165810,215299,355785,166543,180447,405453,172451,222281,429923,187579,235264,428822,182821,237985,421004,162301,250133,421681,165870,245215,423677,157005,255616,420103,162194,247500,408787,178008,222837,420917,182976,230848,420018,192400,217707,417607,170766,238671,410972,168637,234062,411250,168964,228522,410682,174036,226847,410680,165362,231491,417252,172824,231732,0.5354,100,0.4037,76,69
3,3,698602,615333,18362,42582,17663,5970,730,0,0,750716,647261,23595,50571,23768,7393,1127,0,0,769364,634019,28760,56762,25692,19241,1212,757651,649761,24214,52575,24452,7154,858,39524,18594,1477,522,22284,771139,653325,26072,55306,25983,8353,1000,528650,473680,11453,27549,12369,4208,475,0,0,566236,506905,11580,32874,9725,4282,250,29072,7899,1311,250,918,0,594774,501879,18809,37578,18178,14093,800,594774,501879,18809,32257,14761,1316,270,23643,573558,511537,11902,34429,10660,4330,280,0,0,0,0,587125,519990,13976,35846,11604,4734,315,31778,9245,831,315,599983,524853,16945,38338,13498,5334,304,33321,10676,568,304,352058,163239,183412,329758,135589,194169,360946,126718,214461,360339,160665,182971,360659,159069,189933,351210,133603,217607,353782,143208,193124,317920,141269,166736,368074,146075,210327,397528,158177,231359,395253,155113,231549,385565,138851,236222,387608,140621,236178,388213,132999,242808,384921,137526,236129,385828,153188,224254,406941,159749,240977,402971,168445,224422,401213,148674,243818,392492,144648,238443,392873,146422,230013,392261,152087,229579,391813,144383,232314,392324,148981,231531,0.3584,43,0.3498,62,63
4,4,733152,622237,32495,58356,12251,10625,1640,0,0,757517,631768,37605,62724,15806,12737,2169,0,0,769364,613869,42681,66422,18319,25444,2411,763837,634255,38925,62899,16522,13156,1880,51551,10680,3478,749,22858,770894,630926,41413,64287,18521,14819,2729,560808,485870,20918,39006,8684,7630,1005,0,0,576436,497690,20741,41405,7360,7992,301,38609,5677,3374,301,1191,0,599570,489976,28651,45836,13340,18658,1447,599570,489976,28651,39725,9798,2798,699,26220,583461,503013,22902,40233,8013,8059,380,0,0,0,0,591543,505841,24515,41760,9073,8785,473,37230,6598,1856,473,597462,507634,26514,43583,9407,8731,701,38648,6771,1200,701,363509,163269,193785,338554,139939,198615,350749,125028,208388,351495,153541,181984,351127,152128,187506,345727,137791,207936,346592,132035,197630,310090,133485,166961,360734,141746,208305,392866,155951,229889,391158,151356,231498,383193,138457,233308,384924,143918,230441,385822,134967,238580,383106,140496,231548,376619,148262,220740,395017,153232,236509,391973,159273,222724,390206,148999,232918,384008,139777,234932,384546,142812,224809,384075,147624,225858,383948,140974,226023,387279,143298,233433,0.3914,57,0.3307,58,58
5,5,752972,546287,43751,146411,9840,10457,2729,0,0,757686,536081,51562,149812,11843,10293,3119,0,0,769364,515400,65069,150123,13549,25018,3887,759108,532497,53622,151318,12270,10641,3439,137627,8183,2357,2481,19389,769534,530473,58428,154623,11888,12447,3519,566981,427296,26093,101129,6742,7434,1590,0,0,559517,424834,20453,101686,4973,6398,1151,98166,4034,2399,1151,976,0,588634,411612,41398,105776,9492,18585,2536,588634,411612,41398,97046,6739,2455,1537,25795,561963,422812,21511,104406,5171,6585,1307,0,0,0,0,569950,425617,24169,105839,5617,7121,1238,100950,4226,1300,1238,569676,420308,30200,102903,6281,7871,831,97113,4243,996,831,358301,187954,163842,320647,156820,163827,321480,129796,175707,321084,158786,146554,321013,157985,151954,315370,143238,172132,316610,145614,154093,274915,126662,138920,321200,137338,173277,343089,143602,192560,342045,139791,193122,334973,129667,193779,337750,132653,194898,337536,126062,199008,335358,131774,192602,321515,132174,182081,332891,133438,194505,329843,139211,181219,328980,128098,192802,323441,123150,191646,323681,126097,182081,323557,129488,184173,323209,124151,183474,324209,128709,184224,0.2918,17,0.1988,25,34
6,6,738408,647498,33536,37672,13027,8115,1882,0,0,760353,647749,40377,47545,16694,10168,2959,0,0,769364,628405,44018,52169,19406,21880,3556,764238,646842,41523,49158,17392,10407,3037,35705,12629,2198,1642,22862,768431,642018,43388,52413,18661,11755,2866,558804,500373,20543,23719,8859,5697,1178,0,0,569737,505991,20698,28418,7363,6069,607,25309,6049,2301,607,979,0,588867,493931,28485,33395,13386,16041,2084,588867,493931,28485,28130,10380,2138,1445,22778,573921,507719,21932,28862,8370,6220,586,0,0,0,0,578794,507837,23535,30425,9800,6605,620,26650,7647,1595,620,583402,506753,26079,32013,10407,6748,777,27022,8069,1121,777,351473,157010,186140,319804,130451,189353,341473,112272,210557,341548,146958,177814,341924,142961,188266,334315,125114,209201,335978,129926,187335,295055,120261,164038,343644,126291,206371,374135,137236,230188,372244,134274,229812,363418,120283,231161,365129,126631,227343,366807,112802,241435,363396,122258,230185,358394,130695,220328,377140,135780,236206,373950,141971,222592,372533,129872,234823,366339,123259,234362,366954,127814,224291,366737,130943,226268,366058,127036,222958,370435,122859,238282,0.2814,13,0.3218,55,67
7,7,725263,649764,31803,17457,10707,16373,2234,0,0,753959,661773,39255,22604,13702,17784,2535,0,0,769365,636951,47001,25660,16582,37210,4168,759393,660287,40571,23151,14418,18286,2418,14192,9891,5631,1740,26051,771991,661025,43622,25243,15990,19034,3578,553070,505351,18727,10242,7370,11499,1323,0,0,568107,520815,15640,11919,6722,11499,484,10120,5311,5001,484,1183,0,594947,505834,29527,15694,11381,27157,2661,594947,505834,29527,11308,8583,5545,1898,30581,573608,523484,17447,12599,7082,11713,415,0,0,0,0,583431,528984,19956,13181,7982,11979,504,10476,5750,2661,504,592270,531022,24577,14247,8575,12286,515,10069,6018,2296,515,332368,117381,208934,307742,95366,212376,330930,82189,232326,332464,105419,211189,332016,105152,215225,326722,90699,236023,327870,86514,223798,289524,90425,188465,337712,94228,232969,364372,103422,254241,363337,100899,254072,357518,88500,258928,358486,93333,255173,359736,86565,261823,357287,89035,258464,356981,101210,248648,376524,105653,266226,374201,108886,255902,372872,104120,261182,367596,94122,265281,368137,96493,257472,367642,99487,259136,367678,94860,259468,367816,96647,263186,0.4522,81,0.4959,99,94
8,8,790179,723841,13381,37898,6962,9001,621,0,0,785620,709998,17405,41042,8213,9985,670,0,0,769364,668098,18619,42819,9529,24152,916,785488,703990,17873,40844,8560,10070,718,32881,6630,2915,248,20120,771721,679835,18888,39921,9082,12889,711,602863,558770,8090,24581,4944,6823,389,0,0,600301,554404,8478,26412,3103,7483,114,24966,2603,2686,114,547,0,595852,526013,11554,28048,6779,18170,593,595852,526013,11554,25120,4964,2155,163,24696,601131,553853,9239,26536,3580,7454,177,0,0,0,0,591917,542379,10083,25323,4531,9159,133,22395,3318,1278,133,591790,539941,11201,24016,4744,11119,190,20641,3195,1104,190,351362,138683,204962,321294,108737,212557,343378,77849,252499,340960,117311,208040,341855,113402,217727,334169,98080,236089,337069,105037,216630,289918,87070,194218,340782,87594,244127,366690,86665,274776,363759,88644,267261,355531,77035,269717,356540,81490,265979,358296,70997,276445,355016,78644,267616,350122,82605,261483,369388,83353,282416,364365,89041,266689,362960,78400,277008,355892,74785,273807,356067,78650,261879,355441,81860,263776,355417,78109,262432,356232,77714,271339,0.425,70,0.2604,40,46
